,key,pid,size,Cluster,brand,brand_code,category,color,color_code,mainCategory,releaseDate,rrp,rrp_range,size_normalization,size_range,stock,subCategory,total_sales,total_sales_range,total_sales_range2
0,10000XL ( 158-170 ),10000,XL ( 158-170 ),0,Nike,0.0,1.4285714285714284,gruen,3.75,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.0,5.365853658536587,1.0,0.0,0.0
1,10001L,10001,L,1,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,L,4.4444444444444455,0.0,3.1707317073170733,4.0,0.0,0.0
2,100033 (35-38 ),10003,3 (35-38 ),2,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,M,3.333333333333333,0.0,2.4390243902439024,15.0,0.0,0.0
3,100034 ( 39-42 ),10003,4 ( 39-42 ),2,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,L,4.4444444444444455,0.0,2.4390243902439024,3.0,0.0,0.0
4,100035 ( 43-46 ),10003,5 ( 43-46 ),2,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,XL,5.5555555555555545,0.0,2.4390243902439024,11.0,0.0,0.0
5,10006XL,10006,XL,-1,Under Armour,0.8,6.2857142857142865,blau,1.875,10.0,2017/10/1,57.08,5.0,XL,5.5555555555555545,0.0,,1.0,0.0,0.0
6,10008XL,10008,XL,0,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.24017467248908295,1.2195121951219512,6.0,0.0,0.0
7,10013L,10013,L,3,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,L,4.4444444444444455,0.0,3.1707317073170733,1.0,0.0,0.0
8,10013M,10013,M,3,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,M,3.333333333333333,0.0,3.1707317073170733,4.0,0.0,0.0
9,10013S,10013,S,3,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,S,2.2222222222222223,0.0,3.1707317073170733,1.0,0.0,0.0
10,10015L,10015,L,0,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,L,4.4444444444444455,0.08733624454148471,1.2195121951219512,2.0,0.0,0.0
11,10015S,10015,S,0,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,S,2.2222222222222223,0.0,1.2195121951219512,1.0,0.0,0.0
12,10017L,10017,L,-1,Under Armour,0.8,8.857142857142858,blau,1.875,10.0,2017/10/1,69.78,5.0,L,4.4444444444444455,0.0,,4.0,0.0,0.0
13,10020XL,10020,XL,4,Nike,0.0,2.2857142857142856,rot,7.5,5.7142857142857135,2017/10/1,50.73,5.0,XL,5.5555555555555545,0.0,2.6829268292682933,4.0,0.0,0.0
